# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
きぼう 希望 [希望]
しんろ 進路 [前途，去向]
しゅうしょく 就職 [就业]
しごと 工作 [工作]
しょくぎょう 职业 [职业]
いしゃ 医者 [医生]
かんごし 看护师 [护士]
きょうし 教师 [教师]
こうむいん 公務員 [公务员]
かいしゃいん 会社員 [公司职员]
ぎんこういん 銀行員 [银行职员]
えんじにあ エンジニア [工程师]
ぷろぐらまー プログラマー [程序员]
でざいなー デザイナー [设计师]
さっか 作家 [作家]
まんがか マンガ家 [漫画家]
いらすとれーたー イラストレーター [插画家]
みゅーじしゃん ミュージシャン [音乐人]
かしゅ 歌手 [歌手]
はいゆう 俳優 [演员]
もでる モデル [模特]
すぽーつせんしゅ スポーツ選手 [运动员]
ぱてぃしえ パティシエ [西点师]
料理人 料理人 [厨师]
美容師 美容師 [美容师]
りようし 理容師 [理发师]
べんごし 弁護士 [律师]
けいさつかん 警察官 [警察]
しょうぼうし 消防士 [消防员]
ぱいろっと パイロット [飞行员]
きゃびんあてんだんと キャビンアテンダント [空乘]
えきいん 駅員 [车站职员]
うんてんしゅ 運転手 [司机]
のうか 農家 [农民]
りょうし 漁師 [渔夫]
だいく 大工 [木匠]
しょうにん 商人 [商人]
てんいん 店員 [店员]
あるばいと アルバイト [兼职]
ぷろ プロ [职业选手]
あま アマ [业余爱好者]
社長 社長 [总经理]
ぶちょう 部長 [部长]
かちょう 課長 [课长]
しゃいん 社員 [员工]
せんぱい 先輩 [前辈]
こうはい 後輩 [后辈]
どうりょう 同僚 [同事]
じょうし 上司 [上司]
ぶか 部下 [下属]
おとな 大人 [大人]
しゃかいじん 社会人 [社会人]
しごと 工作 [工作]
しょくば 职场 [职场]
じむしょ 事務所 [办公室]
おふぃす オフィス [办公室]
こうじょう 工場 [工厂]
げんば 现场 [现场]
きゅうりょう 给料 [工资]
ぼーなす ボーナス [奖金]
ぜいきん 税金 [税金]
ほけん 保险 [保险]
ねんきん 年金 [养老金]
せいかつひ 生活費 [生活费]
ちょきん 貯金 [储蓄]
よきん 預金 [存款]
さいふ 財布 [钱包]
おかね お金 [钱]
おさつ お札 [纸币]
こいん コイン [硬币]
かっこう 格好 [装束，样子]
すーつ スーツ [西装]
ねくたい ネクタイ [领带]
しゃつ シャツ [衬衫]
しゅっちょう 出張 [出差]
てんきん 転勤 [调动工作]
たいしょく 退職 [退休，离职]
くび 首 [解雇]
しつぎょう 失业 [失业]
きゅうじん 求人 [招聘]
ぼしゅう 募集 [募集]
めんせつ 面接 [面试]
さいよう 采用 [录用]
けんしゅう 研修 [培训]
ろうどう 劳动 [劳动]
ざんぎょう 残業 [加班]
きゅうじつしゅっきん 休日出勤 [周末加班]
つかれ 疲れ [疲劳]
すとれす ストレス [压力]
きゅうけい 休憩 [休息]
やすみ 休み [休息]
ゆうきゅう 有給 [带薪假]
きゅうか 休暇 [假期]
じさしゅっきん 時差出勤 [错峰上下班]
てれわーく テレワーク [远程办公]
ざいたくきんむ 在宅勤務 [居家办公]
ぱそこん パソコン [电脑]
ねっと ネット [网络]
めーる メール [邮件]
ちゅうのん ちゅうのん [中音]
こうおん 高音 [高音]
ていおん 低音 [低音]
おんりょう 音量 [音量]
ぼりゅーむ ボリューム [音量，卷]
みゅーと ミュート [静音]
すぴーかー スピーカー [扬声器]
へっどほん ヘッドホン [头戴式耳机]
いやほん イヤホン [入耳式耳机]
まいく マイク [麦克风]
ろくおん 录音 [录音]
さいせい 再生 [播放]
いちじていし 一時停止 [暂停]
ていし 停止 [停止]
はやおくり 早送り [快进]
まきもどし 巻き戻し [快退]
りぴーと リピート [重复播放]
らんだむ ランダム [随机播放]
しゃっふる シャッフル [随机播放]
ぷれいりすと プレイリスト [播放列表]
あるばむ アルバム [专辑]
しんぐる シングル [单曲]
ひっと ヒット [热门，轰动]
ちゃーと チャート [排行榜]
らんきんぐ ランキング [排名]
人気 人気 [受欢迎]
ふぁん ファン [粉丝]
くらぶ クラブ [俱乐部]
こんさーと コンサート [演唱会]
らいぶ ライブ [现场音乐会]
つあー ツアー [巡演]
すてーじ ステージ [舞台]
ぱふおーまんす パフォーマンス [表演]
だんす ダンス [舞蹈]
だんさー ダンサー [舞者]
ふりつけ 振り付け [编舞]
いしょう 衣装 [服装]
めいく メイク [化妆]
かみがた 髪型 [发型]
ふく 服 [衣服]
ファッション ファッション [时尚]
すたいる スタイル [身材，风格]
もでる モデル [模特]
たれんと タレント [艺人]
あいどる アイドル [偶像]
かしゅ 歌手 [歌手]
みゅーじしゃん ミュージシャン [音乐家]
ばんど バンド [乐队]
ぎたー ギター [吉他]
べーす ベース [贝斯]
どらむ ドラム [鼓]
きーぼーど キーボード [键盘]
ぴあの ピアノ [钢琴]
ばいおりん バイオリン [小提琴]
ふるーと フルート [长笛]
さっくす サックス [萨克斯]
とらんぺっと トランペット [小号]
がっき 乐器 [乐器]
えんそう 演奏 [演奏]
がくだん 楽団 [乐团]
おーけすとら オーケストラ [交响乐团]
しきし 指揮者 [指挥]
ふてん 谱面 [乐谱]
がくふ 楽譜 [乐谱]
歌詞 歌詞 [歌词]
めろでぃー メロディー [旋律]
りずむ リズム [节奏]
てんぽ テンポ [节拍]
びーと ビート [节拍]
めろでぃ メロディ [旋律]
はーもにー ハーモニー [和声]
こーらす コーラス [合唱]
からおけ カラオケ [卡拉OK]
うた 歌 [歌]
うたう 歌う [唱歌]
こえ 声 [声音]
おと 音 [声音]
おんきょう 音响 [音响]
しょうめい 照明 [照明]
ぶたい 舞台 [舞台]
えんげき 演剧 [戏剧]
げきじょう 劇場 [剧场]
みゅーじかる ミュージカル [音乐剧]
おぺら オペラ [歌剧]
ばれえ バレエ [芭蕾舞]
さーかす サーカス [马戏团]
まじっく マジック [魔术]
らくご 落語 [落语（日本相声）]
まんざい 漫才 [漫才（日本小品相声）]
お笑い お笑い [搞笑，喜剧]
げいにん 芸人 [艺人]
こめんでぃあん コメディアン [喜剧演员]
はいゆう 俳優 [演员]
じょゆう 女優 [女演员]
たれんと タレント [明星艺人]
かんとく 監督 [导演]
ぷろでゅーさー プロデューサー [制片人]
脚本 脚本 [剧本]
すとーりー ストーリー [故事]
えいが 映画 [电影]
えいがかん 映画館 [电影院]
あにめ アニメ [动画]
まんが マンガ [漫画]
げーむ ゲーム [游戏]
おもちゃ おもちゃ [玩具]
にんぎょう 人形 [娃娃]
ぬぐるみ ぬいぐるみ [毛绒玩具]
えほん 絵本 [绘本]
どくしょ 読書 [读书]
としょかん 図書館 [图书馆]
ほん 本 [书]
ざっし 杂志 [杂志]
しんぶん 新闻 [报纸]
にっき 日记 [日记]
てがみ 手紙 [信]
ゆうびん 邮便 [邮政]
きて 切手 [邮票]
はがき はがき [明信片]
ぶんぼうぐ 文房具 [文具]
のーと ノート [笔记本]
ぺん ペン [笔]
えんぴつ 鉛筆 [铅笔]
けしごむ 消しゴム [橡皮擦]
じょうぎ 定規 [尺子]
はさみ はさみ [剪刀]
のり のり [胶水]
てちょう 手帳 [手册]
かれんだー カレンダー [日历]
とけい 時計 [钟表]
すまほ スマホ [智能手机]
けーたい ケータイ [手机]
ぱそこん パソコン [电脑]
ねっと ネット [网络]
めーる メール [邮件]
ちゃっと チャット [聊天]
でんわ 電話 [电话]
ばんごう 番号 [号码]
じゅうしょ 住所 [地址]
しめい 姓名 [姓名]
ねんれい 年齢 [年龄]
せいべつ 性别 [性别]
たんじょうび 誕生日 [生日]
お祝い お祝い [庆祝]
ぷれぜんと プレゼント [礼物]
けーき ケーキ [蛋糕]
ぱーてぃ パーティー [派对]
ともだち 友達 [朋友]
かぞく 家族 [家人]
おとうさん お父さん [父亲]
おかあさん お母さん [母亲]
おにいさん お兄さん [哥哥]
おねえさん お姉さん [姐姐]
おとうと おとうと [弟弟]
いもうと いもうと [妹妹]
おじいさん おじいさん [爷爷，外公]
おばあさん おばあさん [奶奶，外婆]
こども 子ども [孩子]
あかんぼう 赤ん坊 [婴儿]
まご 孫 [孙子]
しんせき 親戚 [亲戚]
けっこん 結婚 [结婚]
りこん 离婚 [离婚]
そうしき 葬式 [葬礼]
せいかつ 生活 [生活]
まいにち 毎日 [每天]
あさ 朝 [早上]
ひる 昼 [中午]
よる 夜 [晚上]
ばん 晩 [晚上]
ごぜん 午前 [上午]
ごご 午後 [下午]
じかん 時間 [时间]
じ じ [点]
ふん ふん [分]
びょう びょう [秒]
きょう 今日 [今天]
あした 明日 [明天]
きのう 昨日 [昨天]
あさって あさって [后天]
おととい おととい [前天]
こんしゅう 今週 [本周]
らいしゅう 来週 [下周]
せんしゅう 先週 [上周]
こんげつ 今月 [本月]
らいげつ 来月 [下月]
せんげつ 先月 [上月]
ことし 今年 [今年]
らいねん 来年 [明年]
きょねん 去年 [去年]
ふだん 普段 [平时]
しゅうまつ 週末 [周末]
きゅうじつ 休日 [休息日]
しゅくじつ 祝日 [节日]
やすみ 休み [休息]
きゅうか 休暇 [假期]
じゆう 自由 [自由]
じかん 時間 [时间]
よてい 予定 [计划]
けいかく 计划 [计划]
じゅんび 准备 [准备]
かたづけ 片づけ [收拾]
そうじ 掃除 [打扫]
せんたく 洗濯 [洗衣服]
りょうり 料理 [做饭]
べんとう 弁当 [便当]
しょくじ 食事 [吃饭]
あさごはん 朝ごはん [早餐]
ひるごはん 昼ごはん [午餐]
ばんごはん 晩ごはん [晚餐]
おやつ おやつ [零食]
がいしょく 外食 [外食]
れすとらん レストラン [餐厅]
かふぇ カフェ [咖啡厅]
めにゅー メニュー [菜单]
ちゅうもん 注文 [点餐]
かんじょう お勘定 [结账]
げんきん 現金 [现金]
かーど カード [卡]
ぺい ペイ [电子支付]
さいふ 財布 [钱包]
おかね お金 [钱]
かいもの 買い物 [购物]
みせ 店 [店铺]
すーぱー スーパー [超市]
こんびに コンビニ [便利店]
でぱーと デパート [百货商场]
うりば 売り場 [柜台]
しょうひん 商品 [商品]
ねだん 値段 [价格]
やすい 安い [便宜]
たかい 高い [贵]
わりびき 割引 [打折]
せーる セール [促销]
れじ レジ [收银台]
ふくろ 袋 [袋子]
れしーと レシート [发票]
おつり おつり [找零]
へんぴん 返品 [退货]
こうかん 交換 [更换]
えいご 英語 [英语]
すうがく 数学 [数学]
りか 理科 [理科]
しゃかい 社会 [社会]
れきし 歴史 [历史]
ちり 地理 [地理]
たいいく 体育 [体育]
おんがく 音乐 [音乐]
びじゅつ 美術 [美术]
てすと テスト [测试]
しけん 試験 [考试]
べんきょう 勉強 [学习]
よしゅう 予習 [预习]
ふくしゅう 复习 [复习]
しゅくだい 宿題 [作业]
じゅけん 受験 [考试]
ごうかく 合格 [及格]
ふごうかく 不合格 [不及格]
そつぎょう 卒業 [毕业]
にゅうがく 入学 [入学]
きょうしつ 教室 [教室]
つくえ 机 [桌子]
いす いす [椅子]
こくばん 黒板 [黑板]
ちょーく チョーク [粉笔]
のーと ノート [笔记本]
きょうかしょ 教科書 [教科书]
じしょ 辞書 [词典]
ぺん ペン [笔]
えんぴつ 鉛筆 [铅笔]
けしごむ 消しゴム [橡皮]
じょうぎ 定規 [尺子]
ばっぐ バッグ [包]
らんどせる ランドセル [书包]
せいふく 制服 [校服]
うんどうぎ 運動着 [运动服]
うんどうくつ 運動靴 [运动鞋]
きゅうしょく 給食 [配餐]
えんそく 遠足 [远足]
うんどうかい 運動会 [运动会]
ぶかつ 部活 [社团]
せんぱい 先輩 [前辈]
こうはい 後輩 [后辈]
どうきゅうせい 同級生 [同学]
くらすめーと クラスメート [同班同学]
ともだち 友達 [朋友]
せんせい 先生 [老师]
こうちょう 校長 [校长]
がっこう 学校 [学校]
しょうがっこう 小学校 [小学]
ちゅうがっこう 中学校 [初中]
こうとうがっこう 高等学校 [高中]
だいがく 大学 [大学]
だいがくいん 大学院 [研究生院]
せんもんがっこう 専門学校 [专科学校]
ようちえん 幼稚園 [幼儿园]
ほいくえん 保育園 [托儿所]
きょういく 教育 [教育]
じゅく 塾 [补习班]
ならいごと 習い事 [特长班]
ぴあの ピアノ [钢琴]
すいえい 水泳 [游泳]
しゅうじ 習字 [书法]
そろばん そろばん [算盘]
えいかいわ 英会話 [英语角]
たいくつ 退屈 [无聊]
おもしろい 面白い [有趣的]
むずかしい 難しい [难的]
やさしい 優しい [容易的]
かんたん 簡単 [简单的]
ふくざつ 複雑 [复杂的]
きびしい 厳しい [严厉的]
やさしい 優しい [温柔的]
まじめ まじめ [认真地]
ふまじめ ふまじめ [不认真的]
かしこい 賢い [聪明的]
あたまがいい 頭がいい [聪明的]
てんさい 天才 [天才]
どりょく 努力 [努力]
せいこう 成功 [成功]
しっぱい 失败 [失败]
ちしき 知识 [知识]
のうりょく 能力 [能力]
さいのう 才能 [才能]
けいけん 经验 [经验]
しょうらい 将来 [将来]
ゆめ 夢 [梦想]
きぼう 希望 [希望]
しんろ 進路 [升学去向]
しゅうしょく 就職 [就业]
しごと 工作 [工作]
しょくぎょう 职业 [职业]
いしゃ 医者 [医生]
かんごし 看护师 [护士]
きょうし 教师 [教师]
こうむいん 公務員 [公务员]
かいしゃいん 会社員 [公司职员]
ぎんこういん 銀行員 [银行职员]
えんじにあ エンジニア [工程师]
ぷろぐらまー プログラマー [程序员]
でざいなー デザイナー [设计师]
さっか 作家 [作家]
まんがか マンガ家 [漫画家]
いらすとれーたー イラストレーター [插画家]
みゅーじしゃん ミュージシャン [音乐人]
かしゅ 歌手 [歌手]
はいゆう 俳優 [演员]
もでる モデル [模特]
すぽーつせんしゅ スポーツ選手 [运动员]
ぱてぃしえ パティシエ [面点师]
りょうりにん 料理人 [厨师]
びようし 美容師 [美容师]
りようし 理容師 [理发师]
べんごし 弁護士 [律师]
けいさつかん 警察官 [警察]
しょうぼうし 消防士 [消防员]
ぱいろっと パイロット [飞行员]
きゃびんあてんだんと キャビンアテンダント [空姐]
えきいん 駅員 [站务员]
うんてんしゅ 運転手 [司机]
のうか 農家 [农民]
りょうし 漁師 [渔夫]
だいく 大工 [木匠]
しょうにん 商人 [商人]
てんいん 店員 [店员]
あるばいと アルバイト [兼职]
ぷろ プロ [职业]
あま アマ [业余]
しゃちょう 社長 [社长]
ぶちょう 部長 [部长]
かちょう 課長 [课长]
しゃいん 社員 [职员]
せんぱい 先輩 [前辈]
こうはい 後輩 [后辈]
どうりょう 同僚 [同事]
じょうし 上司 [上司]
ぶか 部下 [部下]
おとな 大人 [大人]
しゃかいじん 社会人 [社会人]
しごと 工作 [工作]
しょくば 职场 [职场]
じむしょ 事務所 [办公室]
おふぃす オフィス [办公室]
こうじょう 工場 [工厂]
げんば 现场 [现场]
きゅうりょう 给料 [薪水]
ぼーなす ボーナス [奖金]
ぜいきん 税金 [税金]
ほけん 保险 [保险]
ねんきん 年金 [退休金]
せいかつひ 生活費 [生活费]
ちょきん 貯金 [储蓄]
よきん 預金 [存款]
さいふ 財布 [钱包]
おかね お金 [钱]
おさつ お札 [纸币]
こいん コイン [硬币]
かっこう 格好 [打扮]
すーつ スーツ [西装]
ねくたい ネクタイ [领带]
しゃつ シャツ [衬衫]
しゅっちょう 出張 [出差]
てんきん 転勤 [岗位调动]
たいしょく 退職 [离职]
くび 首 [解雇]
しつぎょう 失业 [失业]
きゅうじん 求人 [招聘]
ぼしゅう 募集 [招募]
めんせつ 面接 [面试]
さいよう 采用 [录用]
けんしゅう 研修 [培训]
ろうどう 劳动 [劳动]
ざんぎょう 残業 [加班]
きゅうじつしゅっきん 休日出勤 [加班]
つかれ 疲れ [累]
すとれす ストレス [压力]
きゅうけい 休憩 [休息]
やすみ 休み [休假]
ゆうきゅう 有給 [带薪休假]
きゅうか 休暇 [假期]
じさしゅっきん 時差出勤 [错时上下班]
てれわーく テレワーク [在家办公]
ざいたくきんむ 在宅勤務 [在家办公]
ぱそこん パソコン [电脑]
ねっと ネット [网络]
めーる メール [邮件]
ぶんぶく茶釜 ぶんぶく茶釜 [文福茶釜]
おしょう お寺の～ [和尚]
かわいがる かわいがる [疼爱]
たぬき たぬき [狸猫]
ふるい 古い [古老的]
ちゃがま 茶釜 [茶釜]
うる 売る [卖]
かわいそう かわいそう [可怜]
ていねい 丁寧 [客气]
あらう 洗う [洗]
いたがる いたがる [喊疼]
おどろく 驚く [吃惊]
ひあぶる 火に～ [火烤]
あつい あつい [热]
あつがる 暑がる [怕热]
てあし 手足 [手脚]
しっぽ しっぽ [尾巴]
だす 出す [露出]
にげだす 逃げ出す [逃跑]
ふるや 古道具屋 [古董店]
おやじ おやじ [老头子]
よる 夜 [晚上]
おきる 起きる [起来]
つなわたる 綱渡り [走钢丝]
みせる 見せる [让...看]
みせものごや 見世物小屋 [草台班子]
おおもうけ 大儲け [大赚]
おれい お礼 [谢礼]
おてら お寺 [寺庙]
かえす 返す [还]
まいにち 毎日 [每天]
たくさんの たくさんの [很多的]
ひと 人 [人]
おまいり お参り [参拜]
くる 来る [来]
いま 今 [现在]
のこる 残る [留下]
はなし 話 [故事]
おしまい  [完]
むかしむかし 昔々 [很久很久以前]
あるところに  [在某个地方]
おじいさん  [老爷爷]
おばあさん  [老奶奶]
くらす 暮らす [生活]
やま 山 [山]
しばかり 芝刈り [打柴]
いく 行く [去]
かわ 川 [河]
せんたく 洗濯 [洗衣服]
ながれてくる 流れてくる [流过来]
おおきな 大きな [大的]
もも 桃 [桃子]
ひろう 拾う [捡起]
いえ 家 [家]
もってかえる 持って帰る [带回家]
たべよう  [吃吧]
きろう 切ろう [切吧]
なか 中 [中间]
あかんぼう 赤ん坊 [婴儿]
とびだす 飛び出す [跳出来]
こども 子ども [孩子]
いない  [没有]
よろこぶ 喜ぶ [高兴]
なまえ 名前 [名字]
つける つける [起名字]
そだてる 付ける [抚养]
どんどん どんどん [接连不断]
おおきくなる 大きくなる [长大]
つよい 強い [强]
やさしい 優しい [温柔]
おと高的こ 男の子 [男孩]
あるひ ある 日 [有一天]
おに 鬼 [鬼]
わるさ 悪さ [坏事]
こまる 困る [为难]
きく 聞く [听]
おにがしま 鬼ヶ島 [鬼岛]
たいじ 退治 [消灭]
おにたいじ 鬼退治 [消灭恶鬼]
でかける 出かける [出门]
きびだんご きびだんご [吉备团子]
つくって 新しい～ [做]
もらう もらう [领到]
こし 腰 [腰]
つける 付ける [系上]
とちゅう 途中 [途中]
いぬ 犬 [狗]
ひとつ ひとつ [一个]
ください ください [请给我]
おとも お供 [随从]
します します [做]
つぎ 次 [接下来]
さる 猿 [猴子]
きじ キジ [雉鸡]
なかま 仲間 [伙伴]
ふね 船 [船]
のる 乗る [坐]
うみ 海 [海]
わたる 渡る [渡过]
とうちゃく 到着 [到达]
たたかう 戦う [战斗]
まかす 負かす [打败]
まいりました まいりました [服了]
あやまる 謝る [认错]
たkaramono 宝物 [宝物]
くるま 車 [车]
つむ 積む [装]
むら 村 [村]
かえる 帰る [回来]
しあわせ しあわせ [幸福]
めでたしめでたし  [可喜可贺]
おむすびころりん  [饭团滚滚]
きこり きこり [樵夫]
おにぎり  [饭团]
おとす 落とす [掉下]
あな 穴 [洞]
ころがる  [打滚]
うた 歌 [歌]
きこえる 聞こえる [能听到]
たのしい 楽しい [快乐]
もうひとつ  [再一个]
いれる 入れる [放入]
じぶん 自分 [自己]
おちる 落ちる [掉下]
ねずみ  [老鼠]
おどり 踊り [跳舞]
ごちそう  [好吃的]
つづら  [藤箱]
おみやげ お土産 [礼物]
ちいさな 小さな [小的]
えらぶ 選ぶ [选择]
きんか 金貨 [金币]
いっぱい  [满]
いじわるな  [使坏的]
となり 隣 [隔壁]
まね 真似 [学样]
よくばる 欲張る [贪婪]
おどかす 脅かす [吓唬]
ねこのなきまね 猫の鳴き真似 [学猫叫]
にげる 逃げる [逃跑]
まっくら  [漆黑]
でられなくなる 出られなくなる [出不来]
うらしまたろう 浦島太郎 [浦岛太郎]
りょうし 漁師 [渔夫]
うみべ 海辺 [海边]
かめ 亀 [乌龟]
いじめる  [作弄]
おとひめ 乙姫 [乙姬]
たい 鯛 [鲷鱼]
ひらめ ひらめ [比目鱼]
ひにち 日にち [日子]
たつ 経つ [过去]
しんぱい 心配 [发愁]
たまてばこ 玉手箱 [宝盒]
あめてはならない  [不能打开]
やくそく 約束 [说好]
だれ 誰 [谁]
なんねん 何年 [多少年]
けむり 煙 [烟]
しろい 白い [白]
かみ 髪 [头发]
なってしまう  [成了]
かぐやひめ かぐや姫 [辉夜姬]
たけ 竹 [竹子]
たけとりのおきな 竹取の翁 [采竹老翁]
ひかる 光る [闪光]
みつける 見つける [找到]
うつくしい 美しい [漂亮]
おかね お金 [钱]
おねがい お願い [拜托]
けっこん 結婚 [结婚]
むりな むりな [办不到]
ほうび 褒美 [奖赏]
さよなら さよなら [再见]
つるのおんがえし 鶴の恩返し [仙鹤报恩]
わかもの 若者 [年轻人]
つる 鶴 [鹤]
あや 織る [织]
のぞく のぞく [偷看]
はたおり 旗織り [织布]
はね 羽 [羽毛]
ぬく 抜く [拔]
ばれる ばれる [败露]
とびたつ 飛び立つ [飞走]
さるかにがっせん さるかに合戦 [猴蟹大战]
かに 蟹 [蟹]
さる 猿 [猴]
かき 柿 [柿子]
たね 種 [种]
かきのみ 柿の実 [柿子]
ぶつける  [砸]
しぬ 死ぬ [死]
かたきうち 仇討ち [报仇]
くり 栗 [栗子]
はち 蜂 [蜂]
うす 臼 [石臼]
うんち  [屎]
こらす 懲らす [惩罚]
いっすんぼうし 一寸法師 [一寸法师]
おわん お椀 [碗]
はし 箸 [筷子]
きょうと 京都 [京都]
のみこむ 飲み込む [吞下]
はしでつつく 箸でつつく [用筷子捅]
うちでのこづち 打ち出の小槌 [万宝槌]
わらしべちょうじゃ わらしべ長者 [稻草富翁]
わらしべ わらしべ [稻草]
あぶ あぶ [虻]
みかん みかん [橘子]
たんもの 反物 [布料]
うま 馬 [马]
やしき 屋敷 [宅邸]
分布,ぶんぷする,分布,,动3
乱獲,らんかく,滥捕，乱捕,,名词
悪化,あっか,恶化,,名词
絶滅危惧種,ぜつめつきぐしゅ,濒危物种，濒临灭绝物种,,名词
野生,やせい,野生,,名词
生息～,せいそくする,栖息，生息,,动3
陝西省,せんせいしょう,陕西省,,专有词
西安,せいあん,西安,,专有词
洋県,ようけん,洋县,,专有词
生息地,せいそくち,栖息地,,名词
一時期,いちじき,一度，一段时期,,名词
営巣地,えいそうち,筑巢地，筑巢区域，营巢区域,,名词
監視,かんし,观察，监视,,名词
保護,ほご,保护,,名词
取り組む,とりくむ,致力于，埋头于,,动1
かたわら,かたわら,一面，一边；旁边,,名词
飼育～,しいくする,饲养,,动3
啓発,けいはつ,启发，启示,,名词
こうした,こうした,这样的，如此的,,连接词
支援,しえん,援助，支援,,名词
募る,つのる,募集，征募，招募,,动1
成果,せいか,成果,,名词
実を結ぶ,みをむすぶ,结出果实；产生实际效果，取得成功,,惯用语
回復～,かいふくする,恢复,,动3
今では,いまでは,现在，如今,,词组
見かける,みかける,看到，发现,,动2
手厚い,てあつい,周到，热情；优厚,,形容词
保護～,ほごする,保护,,动3
絶滅,ぜつめつ,灭绝，绝灭,,名词
免れる,まぬがれる,避免，摆脱，免除,,动2
